Stone Name,RoughWeight,RoughWeight1,RoughWeight2,RoughLength,RoughHeight,Shape,WT,Pw,Cut,TD,TDMM,Ratio,W,L,L2,SWPercent,SWmm,TablePercent,TableMM,Crown,CrownHPercent,CrownHmm,GirdlePercent,GirdleMM,Pavil,PavilDPercent,PavilDmm,Tilt,Star,Half,CuletPercent,CuletMM,Color,Clarity,Fls,Price,Discount,Dolar,Sieve,Saw,Part,UserName,CUserName,Day,Month,Year,Time,Serial
1,0.421,0.421,0.421,3.65,5.05,ROUND,0.181,0.107,EX,65.0,1.93,1.00,2.97,2.97,2.97,1.7,91,59.0,1.75,38.00,16.0,0.47,M: 4.5,0.13,41.67,44.5,1.32,49,50.0,75.0,0.00,0.0,WH,SI3,,55200.0,-40,3643.2,x_+11.5-14,Saw19-2,2,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,ROUND,0.022,0.004,EX,61.7,0.65,1.00,1.05,1.05,1.05,0.5,91,61.0,0.64,33.69,13.0,0.14,M: 3.7,0.04,41.99,45.0,0.47,132,50.0,77.5,0.00,0.0,WH,SI3,,40000.0,-40,0.0,x_-2,Saw19-3,3,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,ROUND,0.078,0.041,EX,64.7,1.40,1.00,2.16,2.16,2.16,0.5,91,61.0,1.32,38.00,15.2,0.33,M: 4.5,0.10,41.99,45.0,0.97,131,50.0,75.0,0.00,0.0,WH,VS,,56800.0,-40,1363.2,x_+7-8,Saw19-4,4,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,ROUND,0.030,0.005,EX,60.0,0.67,1.00,1.12,1.12,1.12,1.6,91,61.0,0.68,33.69,13.0,0.14,M: 3.8,0.04,40.80,43.2,0.48,123,50.0,77.5,0.00,0.0,WH,VS,,52800.0,-40,316.8,x_-2,Saw19-4,5,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,ROUND,0.024,0.006,EX,60.0,0.70,1.00,1.17,1.17,1.17,3.3,91,61.0,0.72,33.69,13.0,0.15,M: 3.8,0.05,40.80,43.2,0.51,83,50.0,77.5,0.00,0.0,WH,SI3,,40000.0,-40,240.0,x_-2,Pie19-1,6,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,ROUND,0.019,0.007,EX,63.0,0.77,1.00,1.22,1.22,1.22,2.9,91,57.0,0.70,34.88,15.0,0.18,M: 4.5,0.06,41.01,43.5,0.53,113,50.0,77.5,0.00,0.0,WH,VS,,52800.0,-40,316.8,x_-2,Pie19-2,7,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,5.3,91,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
1,0.421,0.421,0.421,3.65,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_,,,,,19,1,2024,x_11:03,4176
